File,Time_Sec,GPU_Util,RAM_Usage_MB,Power_W,Net_Sent_Bytes,Net_Recv_Bytes,CPU_Core_0,CPU_Core_1,CPU_Core_2,CPU_Core_3,CPU_Total_Avg
EC_0179-5379-04-04-PSJ-F-04-A.wav,4.209133901982568,97,12052,0,0,0,2.0,14.7,0.0,0.0,4.175
EC_0179-5379-04-04-PSJ-F-04-A.wav,5.235700194985839,99,12052,0,360,360,14.9,1.0,1.0,0.0,4.225
EC_0179-5379-04-04-PSJ-F-04-A.wav,6.261969190993113,0,12052,0,0,0,16.5,0.0,1.0,1.0,4.625
EC_0179-5380-04-04-PSJ-F-04-A.wav,0.06398898400948383,99,12053,0,120,120,14.5,11.6,7.9,4.7,9.675
EC_0179-5380-04-04-PSJ-F-04-A.wav,1.1376022830081638,98,12053,0,0,0,9.2,10.1,7.5,35.8,15.649999999999999
EC_0179-5380-04-04-PSJ-F-04-A.wav,2.161333446012577,97,12053,0,120,120,23.5,0.0,7.8,11.7,10.75
EC_0179-5380-04-04-PSJ-F-04-A.wav,3.1884873539966065,94,12053,0,240,240,1.9,2.9,14.6,0.0,4.85
EC_0179-5380-04-04-PSJ-F-04-A.wav,4.2156845279969275,99,12053,0,120,120,1.0,1.0,15.4,0.0,4.35
EC_0179-5380-04-04-PSJ-F-04-A.wav,5.242805603018496,0,12053,0,360,360,2.9,1.0,16.5,2.9,5.824999999999999
EC_0179-5381-04-04-PSJ-F-04-A.wav,0.06024746899493039,99,12053,0,120,120,0.0,0.0,100.0,0.0,25.0
EC_0179-5381-04-04-PSJ-F-04-A.wav,1.1323487810150255,99,12053,0,120,120,6.6,8.4,25.2,17.0,14.3
EC_0179-5381-04-04-PSJ-F-04-A.wav,2.1547710400191136,98,12053,0,240,240,31.4,0.0,9.8,8.8,12.5
EC_0179-5381-04-04-PSJ-F-04-A.wav,3.179890052997507,98,12053,0,240,240,2.9,1.0,15.4,1.0,5.075
EC_0179-5381-04-04-PSJ-F-04-A.wav,4.2078650610055774,97,12053,0,240,240,1.0,0.0,13.9,1.9,4.2
